Name of the Group,Prepare 3,,,,
CEFR,A2+,,,,
Teacher,Anna Orlova,,,,
,,,,,
Student,Marusya,,,,
Test number,Test 1,Test 2,Test 3,Test 4,End of the year test
Test date,15 Aug 2026,,,,
Listening,85%,,,,
Writing,60%,,,,
Reading,87%,,,,
Speaking,90%,,,,
Grammar,85%,,,,
Vocabulary,70%,,,,
Average,80%,,,,
,,,,,
,,,,,
Student,Gleb,,,,
Test number,Test 1,Test 2,Test 3,Test 4,End of the year test
Test date,15 Aug 2026,,,,
Listening,60%,,,,
Writing,60%,,,,
Reading,87%,,,,
Speaking,80%,,,,
Grammar,70%,,,,
Vocabulary,65%,,,,
Average,70%,,,,
,,,,,
,,,,,
Student,Slava,,,,
Test number,Test 1,Test 2,Test 3,Test 4,End of the year test
Test date,15 Aug 2026,,,,
Listening,100%,,,,
Writing,100%,,,,
Reading,95%,,,,
Speaking,80%,,,,
Grammar,70%,,,,
Vocabulary,90%,,,,
Average,89%,,,,
